Edge Sequence,Genus,1st order gonality,Divisor
2(*),1,gonality: 2,"[2, 0]",gonality: 3,"[3, 0]",gonality: 4,"[4, 0]",gonality: 2,"[1, 1]"
3,2,gonality: 2,"[1, 1]",gonality: 4,"[4, 0]",gonality: 5,"[5, 0]",gonality: 2,"[1, 1]",
"2,2",2,gonality: 2,"[2, 0, 0]",gonality: 4,"[4, 0, 0]",gonality: 5,"[5, 0, 0]",gonality: 3,"[1, 1, 1]",
"2,3(*)",3,gonality: 3,"[2, 1, 0]",gonality: 4,"[2, 1, 1]",gonality: 6,"[6, 0, 0]",gonality: 3,"[1, 1, 1]"
"2,4",4,gonality: 3,"[2, 0, 1]",gonality: 5,"[4, 0, 1]",gonality: 6,"[4, 0, 2]",gonality: 3,"[1, 1, 1]",
"3,3",4,gonality: 3,"[3, 0, 0]",gonality: 5,"[4, 1, 0]",gonality: 6,"[4, 1, 1]",gonality: 3,"[1, 1, 1]",
"3,4",5,gonality: 3,"[1, 1, 1]",gonality: 5,"[3, 1, 1]",gonality: 7,"[4, 2, 1]",gonality: 3,"[1, 1, 1]",
"4,4",6,gonality: 3,"[1, 1, 1]",gonality: 6,"[5, 1, 0]",gonality: 7,"[5, 1, 1]",gonality: 3,"[1, 1, 1]",
"2,2,2",3,gonality: 2,"[2, 0, 0, 0]",gonality: 4,"[4, 0, 0, 0]",gonality: 6,"[6, 0, 0, 0]",gonality: 4,"[1, 1, 1, 1]",
"2,2,3",4,gonality: 3,"[2, 0, 1, 0]",gonality: 5,"[4, 0, 1, 0]",gonality: 6,"[4, 0, 1, 1]",gonality: 4,"[1, 1, 1, 1]",
"2,2,4",5,gonality: 3,"[2, 0, 0, 1]",gonality: 5,"[4, 0, 0, 1]",gonality: 7,"[6, 0, 0, 1]",gonality: 4,"[1, 1, 1, 1]",
"2,2,5",6,gonality: 3,"[2, 0, 0, 1]",gonality: 6,"[4, 0, 1, 1]",gonality: 7,"[4, 0, 1, 2]",gonality: 4,"[1, 1, 1, 1]",
"2,3,2",4,gonality: 3,"[2, 1, 0, 0]",gonality: 5,"[5, 0, 0, 0]",gonality: 6,"[6, 0, 0, 0]",gonality: 4,"[1, 1, 1, 1]",
