Edge Sequence,Genus,1st order gonality,Divisor,2nd order gonality,Divisor,3rd order gonality,Divisor,Multiplicity free gonality,Divisor,Counterexample?
1(*),0,gonality: 1,"[1, 0]",gonality: 2,"[2, 0]",gonality: 3,"[3, 0]",gonality: 1,"[1, 0]"
2(*),1,gonality: 2,"[2, 0]",gonality: 3,"[3, 0]",gonality: 4,"[4, 0]",gonality: 2,"[1, 1]"
"1,1(*)",0,gonality: 1,"[1, 0, 0]",gonality: 2,"[2, 0, 0]",gonality: 3,"[3, 0, 0]",gonality: 1,"[1, 0, 0]"
"1,2(*)",1,gonality: 2,"[2, 0, 0]",gonality: 3,"[3, 0, 0]",gonality: 4,"[4, 0, 0]",gonality: 2,"[1, 1, 0]"
"1,3",2,gonality: 2,"[1, 0, 1]",gonality: 4,"[4, 0, 0]",gonality: 5,"[5, 0, 0]",gonality: 2,"[1, 0, 1]",
"2,2",2,gonality: 2,"[2, 0, 0]",gonality: 4,"[4, 0, 0]",gonality: 5,"[5, 0, 0]",gonality: 3,"[1, 1, 1]",
"2,3(*)",3,gonality: 3,"[2, 1, 0]",gonality: 4,"[2, 1, 1]",gonality: 6,"[6, 0, 0]",gonality: 3,"[1, 1, 1]"
"3,3",4,gonality: 3,"[3, 0, 0]",gonality: 5,"[4, 1, 0]",gonality: 6,"[4, 1, 1]",gonality: 3,"[1, 1, 1]",
"1,1,1(*)",0,gonality: 1,"[1, 0, 0, 0]",gonality: 2,"[2, 0, 0, 0]",gonality: 3,"[3, 0, 0, 0]",gonality: 1,"[1, 0, 0, 0]"
"1,1,2(*)",1,gonality: 2,"[2, 0, 0, 0]",gonality: 3,"[3, 0, 0, 0]",gonality: 4,"[4, 0, 0, 0]",gonality: 2,"[1, 1, 0, 0]"
"1,1,3",2,gonality: 2,"[1, 0, 0, 1]",gonality: 4,"[4, 0, 0, 0]",gonality: 5,"[5, 0, 0, 0]",gonality: 2,"[1, 0, 0, 1]",
"1,1,4",3,gonality: 2,"[1, 0, 0, 1]",gonality: 4,"[2, 0, 0, 2]",gonality: 6,"[6, 0, 0, 0]",gonality: 2,"[1, 0, 0, 1]",
"1,2,1(*)",1,gonality: 2,"[2, 0, 0, 0]",gonality: 3,"[3, 0, 0, 0]",gonality: 4,"[4, 0, 0, 0]",gonality: 2,"[1, 1, 0, 0]"
"1,2,2",2,gonality: 2,"[2, 0, 0, 0]",gonality: 4,"[4, 0, 0, 0]",gonality: 5,"[5, 0, 0, 0]",gonality: 2,"[1, 1, 0, 0]",
"1,2,3(*)",3,gonality: 3,"[2, 0, 1, 0]",gonality: 4,"[2, 0, 1, 1]",gonality: 6,"[6, 0, 0, 0]",gonality: 3,"[1, 1, 1, 0]"
"1,2,4",4,gonality: 3,"[2, 0, 0, 1]",gonality: 5,"[4, 0, 0, 1]",gonality: 6,"[4, 0, 0, 2]",gonality: 3,"[1, 1, 0, 1]",
"1,3,1",2,gonality: 2,"[1, 0, 1, 0]",gonality: 4,"[4, 0, 0, 0]",gonality: 5,"[5, 0, 0, 0]",gonality: 2,"[1, 0, 1, 0]",
"1,3,2(*)",3,gonality: 3,"[3, 0, 0, 0]",gonality: 4,"[4, 0, 0, 0]",gonality: 6,"[6, 0, 0, 0]",gonality: 3,"[1, 0, 1, 1]"
"1,3,3",4,gonality: 3,"[3, 0, 0, 0]",gonality: 5,"[4, 0, 1, 0]",gonality: 6,"[4, 0, 1, 1]",gonality: 3,"[1, 0, 1, 1]",
"1,3,4",5,gonality: 3,"[1, 0, 1, 1]",gonality: 5,"[3, 0, 1, 1]",gonality: 7,"[4, 0, 2, 1]",gonality: 3,"[1, 0, 1, 1]",
"1,4,1",3,gonality: 2,"[1, 0, 1, 0]",gonality: 4,"[2, 0, 2, 0]",gonality: 6,"[6, 0, 0, 0]",gonality: 2,"[1, 0, 1, 0]",
"1,4,2",4,gonality: 3,"[1, 0, 2, 0]",gonality: 5,"[5, 0, 0, 0]",gonality: 6,"[6, 0, 0, 0]",gonality: 3,"[1, 0, 1, 1]",
"1,4,3",5,gonality: 3,"[1, 0, 1, 1]",gonality: 5,"[5, 0, 0, 0]",gonality: 7,"[6, 0, 1, 0]",gonality: 3,"[1, 0, 1, 1]",
"1,4,4",6,gonality: 3,"[1, 0, 1, 1]",gonality: 6,"[5, 0, 1, 0]",gonality: 7,"[5, 0, 1, 1]",gonality: 3,"[1, 0, 1, 1]",
"2,1,2",2,gonality: 2,"[2, 0, 0, 0]",gonality: 4,"[4, 0, 0, 0]",gonality: 5,"[5, 0, 0, 0]",gonality: 2,"[0, 1, 1, 0]",
"2,1,3(*)",3,gonality: 3,"[2, 1, 0, 0]",gonality: 4,"[2, 1, 0, 1]",gonality: 6,"[6, 0, 0, 0]",gonality: 3,"[1, 1, 0, 1]"
