Edge Sequence,Genus,1st order gonality
2,1,gonality: 2
3,2,gonality: 2
4,3,gonality: 2
5,4,gonality: 2
"2,2",2,gonality: 2
"2,3",3,gonality: 3
"2,4",4,gonality: 3
"2,5",5,gonality: 3
"2,6",6,gonality: 3
"2,7",7,gonality: 3
"3,3",4,gonality: 3
"3,4",5,gonality: 3
"3,5",6,gonality: 3
"3,6",7,gonality: 3
"3,7",8,gonality: 3
"4,4",6,gonality: 3
"4,5",7,gonality: 3
"4,6",8,gonality: 3
"4,7",9,gonality: 3
"5,5",8,gonality: 3
"5,6",9,gonality: 3
"5,7",10,gonality: 3
"6,6",10,gonality: 3
"6,7",11,gonality: 3
"7,7",12,gonality: 3
"2,2,2",3,gonality: 2
"2,2,3",4,gonality: 3
"2,2,4",5,gonality: 3
"2,2,5",6,gonality: 3
"2,2,6",7,gonality: 3
"2,2,7",8,gonality: 3
"2,2,8",9,gonality: 3
"2,2,9",10,gonality: 3
"2,3,2",4,gonality: 3
"2,3,3",5,gonality: 3
"2,3,4",6,gonality: 4
"2,3,5",7,gonality: 4
"2,3,6",8,gonality: 4
"2,3,7",9,gonality: 4
"2,3,8",10,gonality: 4
"2,3,9",11,gonality: 4
"2,4,2",5,gonality: 4
"2,4,3",6,gonality: 4
"2,4,4",7,gonality: 4
"2,4,5",8,gonality: 4
"2,4,6",9,gonality: 4
"2,4,7",10,gonality: 4
"2,4,8",11,gonality: 4
"2,4,9",12,gonality: 4
"2,5,2",6,gonality: 4
"2,5,3",7,gonality: 4
"2,5,4",8,gonality: 4
"2,5,5",9,gonality: 4
"2,5,6",10,gonality: 4
"2,5,7",11,gonality: 4
"2,5,8",12,gonality: 4
"2,5,9",13,gonality: 4
"2,6,2",7,gonality: 4
"2,6,3",8,gonality: 4
"2,6,4",9,gonality: 4
"2,6,5",10,gonality: 4
"2,6,6",11,gonality: 4
"2,6,7",12,gonality: 4
"2,6,8",13,gonality: 4
"2,6,9",14,gonality: 4
"2,7,2",8,gonality: 4
"2,7,3",9,gonality: 4
"2,7,4",10,gonality: 4
"2,7,5",11,gonality: 4
"2,7,6",12,gonality: 4
"2,7,7",13,gonality: 4
"2,7,8",14,gonality: 4
"2,7,9",15,gonality: 4
"2,8,2",9,gonality: 4
"2,8,3",10,gonality: 4
"2,8,4",11,gonality: 4
"2,8,5",12,gonality: 4
"2,8,6",13,gonality: 4
"2,8,7",14,gonality: 4
"2,8,8",15,gonality: 4
"2,8,9",16,gonality: 4
"2,9,2",10,gonality: 4
"2,9,3",11,gonality: 4
"2,9,4",12,gonality: 4
"2,9,5",13,gonality: 4
"2,9,6",14,gonality: 4
"2,9,7",15,gonality: 4
"2,9,8",16,gonality: 4
"2,9,9",17,gonality: 4
"3,2,3",5,gonality: 4
"3,2,4",6,gonality: 4
"3,2,5",7,gonality: 4
"3,2,6",8,gonality: 4
"3,2,7",9,gonality: 4
"3,2,8",10,gonality: 4
"3,2,9",11,gonality: 4
"3,3,3",6,gonality: 3
"3,3,4",7,gonality: 4
"3,3,5",8,gonality: 4
"3,3,6",9,gonality: 4
"3,3,7",10,gonality: 4
"3,3,8",11,gonality: 4
"3,3,9",12,gonality: 4
"3,4,3",7,gonality: 4
"3,4,4",8,gonality: 4
"3,4,5",9,gonality: 4
"3,4,6",10,gonality: 4
"3,4,7",11,gonality: 4
"3,4,8",12,gonality: 4
"3,4,9",13,gonality: 4
"3,5,3",8,gonality: 4
"3,5,4",9,gonality: 4
"3,5,5",10,gonality: 4
"3,5,6",11,gonality: 4
"3,5,7",12,gonality: 4
"3,5,8",13,gonality: 4
"3,5,9",14,gonality: 4
"3,6,3",9,gonality: 4
"3,6,4",10,gonality: 4
"3,6,5",11,gonality: 4
"3,6,6",12,gonality: 4
"3,6,7",13,gonality: 4
"3,6,8",14,gonality: 4
"3,6,9",15,gonality: 4
"3,7,3",10,gonality: 4
"3,7,4",11,gonality: 4
"3,7,5",12,gonality: 4
"3,7,6",13,gonality: 4
"3,7,7",14,gonality: 4
"3,7,8",15,gonality: 4
"3,7,9",16,gonality: 4
"3,8,3",11,gonality: 4
"3,8,4",12,gonality: 4
"3,8,5",13,gonality: 4
"3,8,6",14,gonality: 4
"3,8,7",15,gonality: 4
"3,8,8",16,gonality: 4
"3,8,9",17,gonality: 4
"3,9,3",12,gonality: 4
"3,9,4",13,gonality: 4
"3,9,5",14,gonality: 4
"3,9,6",15,gonality: 4
"3,9,7",16,gonality: 4
"3,9,8",17,gonality: 4
"3,9,9",18,gonality: 4
"4,2,4",7,gonality: 4
"4,2,5",8,gonality: 4
"4,2,6",9,gonality: 4
"4,2,7",10,gonality: 4
"4,2,8",11,gonality: 4
"4,2,9",12,gonality: 4
"4,3,4",8,gonality: 4
"4,3,5",9,gonality: 4
"4,3,6",10,gonality: 4
"4,3,7",11,gonality: 4
"4,3,8",12,gonality: 4
"4,3,9",13,gonality: 4
"4,4,4",9,gonality: 4
"4,4,5",10,gonality: 4
"4,4,6",11,gonality: 4
"4,4,7",12,gonality: 4
"4,4,8",13,gonality: 4
"4,4,9",14,gonality: 4
"4,5,4",10,gonality: 4
"4,5,5",11,gonality: 4
"4,5,6",12,gonality: 4
"4,5,7",13,gonality: 4
"4,5,8",14,gonality: 4
"4,5,9",15,gonality: 4
"4,6,4",11,gonality: 4
"4,6,5",12,gonality: 4
"4,6,6",13,gonality: 4
"4,6,7",14,gonality: 4
"4,6,8",15,gonality: 4
"4,6,9",16,gonality: 4
"4,7,4",12,gonality: 4
"4,7,5",13,gonality: 4
"4,7,6",14,gonality: 4
"4,7,7",15,gonality: 4
"4,7,8",16,gonality: 4
"4,7,9",17,gonality: 4
"4,8,4",13,gonality: 4
"4,8,5",14,gonality: 4
"4,8,6",15,gonality: 4
"4,8,7",16,gonality: 4
"4,8,8",17,gonality: 4
"4,8,9",18,gonality: 4
"4,9,4",14,gonality: 4
"4,9,5",15,gonality: 4
"4,9,6",16,gonality: 4
"4,9,7",17,gonality: 4
"4,9,8",18,gonality: 4
"4,9,9",19,gonality: 4
"5,2,5",9,gonality: 4
"5,2,6",10,gonality: 4
"5,2,7",11,gonality: 4
"5,2,8",12,gonality: 4
"5,2,9",13,gonality: 4
"5,3,5",10,gonality: 4
"5,3,6",11,gonality: 4
"5,3,7",12,gonality: 4
"5,3,8",13,gonality: 4
"5,3,9",14,gonality: 4
"5,4,5",11,gonality: 4
